date,minimum,maximum,range,mean,std
2022-12-08,14.4001092911,15.3993625641,0.99925327301,15.0229996722,0.300677268737
2022-12-09,16.6510505676,17.4999713898,0.848920822144,17.3797157311,0.15800171389
2022-12-10,12.3001747131,13.8989839554,1.59880924225,13.3133188825,0.489994054041
2022-12-11,16.5001087189,17.4993629456,0.999254226685,17.1136396255,0.294773757852
2022-12-12,18.0001277924,19.19921875,1.19909095764,18.7030898965,0.348361487979
2022-12-13,17.700088501,18.4994812012,0.799392700195,18.1887995225,0.226897747845
2022-12-14,16.200176239,17.7989521027,1.59877586365,17.1733312371,0.456905180657
2022-12-15,15.1001672745,16.5990219116,1.49885463715,15.9887413449,0.431328122266
2022-12-16,14.4002418518,17.0469970703,2.64675521851,15.8129484271,0.693042824696
2022-12-17,15.8001585007,17.1991081238,1.39894962311,16.7067609157,0.405739449274
2022-12-18,16.7001895905,18.3988952637,1.69870567322,17.7711774096,0.489806651989
