date,minimum,maximum,range,mean,std
2022-09-22,28.300151825,29.8531799316,1.55302810669,29.1469423153,0.408580924536
2022-09-23,25.6001377106,27.4464015961,1.8462638855,26.3858178398,0.361181937961
2022-09-24,23.2001457214,24.4991531372,1.29900741577,24.0101943369,0.370500529281
2022-09-25,23.4001350403,25.0373363495,1.6372013092,24.1767552282,0.354626609362
2022-09-26,24.5001564026,25.9293403625,1.42918395996,25.3699656828,0.397691703408
2022-09-27,22.2001304626,24.3406600952,2.14052963257,22.9731639109,0.355518318326
2022-09-28,20.9001255035,22.2617015839,1.36157608032,21.6438304936,0.342842752611
2022-09-29,19.8001327515,20.9992141724,1.1990814209,20.5372385272,0.343406541945
2022-09-30,21.9001731873,23.4989261627,1.59875297546,22.8168585271,0.452198348055
2022-10-01,26.7001895905,28.4451255798,1.74493598938,27.7092146344,0.489086108145
2022-10-02,31.3002300262,33.3985977173,2.09836769104,32.5034698321,0.596199594314
2022-10-03,30.5001430511,32.1408309937,1.6406879425,31.2762273447,0.384229101835
2022-10-04,27.6612014771,29.7312812805,2.07007980347,28.8166513914,0.542350888628
2022-10-05,26.200170517,28.1649150848,1.96474456787,27.1158968961,0.443669906294
2022-10-06,29.330368042,30.8987674713,1.56839942932,30.253899798,0.372017733237
2022-10-07,27.9001998901,29.7231445313,1.82294464111,28.9372513088,0.52583570637
2022-10-08,27.4581775665,30.3306293488,2.87245178223,28.8182964737,0.66268418249
2022-10-09,21.0001506805,22.8830280304,1.88287734985,21.9095934232,0.42632358539
2022-10-10,21.3860759735,21.9997806549,0.613704681396,21.8396652363,0.110904057974
2022-10-11,26.500164032,28.1123199463,1.61215591431,27.3705748393,0.43815175419
2022-10-12,26.6001796722,28.6864089966,2.08622932434,27.5707402641,0.472623075518
2022-10-13,22.069644928,24.8024024963,2.73275756836,23.0982716819,0.462084350195
2022-10-14,25.3001708984,27.2173709869,1.9172000885,26.2256454362,0.438969463298
2022-10-15,20.5000724792,21.281457901,0.781385421753,20.9268115244,0.188214385891
2022-10-16,22.4002571106,24.6985111237,2.29825401306,23.8452869933,0.658141852704
2022-10-17,25.3002319336,27.3986129761,2.09838104248,26.5473001563,0.59275148523
2022-10-18,25.3000793457,26.3398685455,1.03978919983,25.7862607461,0.218529844964
2022-10-19,19.5001564026,20.9237384796,1.42358207703,20.4174293589,0.415475742779
2022-10-20,20.2001495361,21.6737213135,1.47357177734,21.0716177093,0.386902282038
2022-10-21,20.3001823425,21.9131755829,1.61299324036,21.3500298924,0.469172701494
2022-10-22,20.4001274109,22.077911377,1.67778396606,21.1372997908,0.329192163468
2022-10-23,19.4000988007,21.1646080017,1.76450920105,20.0358529738,0.294757633081
2022-10-25,22.4001998901,24.1988258362,1.79862594604,23.5048688783,0.509213246356
2022-10-26,25.2001628876,26.6990013123,1.49883842468,26.0838289379,0.425797851132
2022-10-27,23.6001815796,25.5712833405,1.97110176086,24.6264648555,0.462113725987
2022-10-28,22.8001537323,24.4419059753,1.64175224304,23.6568782889,0.402519251921
2022-10-29,19.5001831055,21.6560688019,2.15588569641,20.5519536807,0.469708738429
2022-10-30,21.4002227783,23.39868927,1.9984664917,22.598188989,0.564991140768
